session_id;username;time;position;velocity;rotation;current_lap
1;manelmm3;29/11/2019 20:17:55;362.3, 0.1, 216.7;-2.7, -0.7, -36.8;0.0, -1.0, 0.0, 0.0;1
1;manelmm3;29/11/2019 20:17:55;361.6, 0.0, 205.5;-2.4, 0.1, -37.7;0.0, -1.0, 0.0, 0.0;1
1;manelmm3;29/11/2019 20:17:56;360.9, 0.0, 194.0;-1.3, 0.0, -38.5;0.0, -1.0, 0.0, 0.0;1
1;manelmm3;29/11/2019 20:17:56;361.4, 0.0, 182.4;3.6, 0.0, -39.1;0.0, -1.0, 0.0, -0.1;1
1;manelmm3;29/11/2019 20:17:56;363.2, 0.0, 169.8;7.1, 0.0, -39.4;0.0, -1.0, 0.0, -0.1;1
1;manelmm3;29/11/2019 20:17:56;365.6, 0.0, 157.9;9.2, 0.0, -39.8;0.0, -1.0, 0.0, -0.1;1
1;manelmm3;29/11/2019 20:17:57;368.6, 0.0, 145.9;10.5, 0.0, -40.2;0.0, -1.0, 0.0, -0.1;1
1;manelmm3;29/11/2019 20:17:57;371.9, 0.0, 133.8;10.9, 0.0, -40.8;0.0, -1.0, 0.0, -0.1;1
1;manelmm3;29/11/2019 20:17:57;374.2, 0.0, 121.3;4.5, 0.0, -42.6;0.0, -1.0, 0.0, 0.0;1
1;manelmm3;29/11/2019 20:17:58;374.7, 0.0, 107.4;-0.8, 0.0, -43.5;0.0, -1.0, 0.0, 0.0;1
1;manelmm3;29/11/2019 20:17:58;373.9, 0.0, 94.3;-4.1, 0.0, -43.9;0.0, -1.0, 0.0, 0.1;1
1;manelmm3;29/11/2019 20:17:58;371.6, 0.0, 81.3;-11.8, 0.0, -42.2;0.0, -1.0, 0.0, 0.2;1
1;manelmm3;29/11/2019 20:17:59;366.2, 0.0, 69.7;-23.4, 0.0, -35.1;0.0, -0.9, 0.0, 0.3;1
1;manelmm3;29/11/2019 20:17:59;358.1, 0.0, 60.3;-29.5, 0.0, -28.0;0.0, -0.9, 0.0, 0.4;1
1;manelmm3;29/11/2019 20:17:59;347.8, 0.0, 52.5;-34.4, 0.0, -20.7;0.0, -0.8, 0.0, 0.5;1
1;manelmm3;29/11/2019 20:17:59;336.8, 0.0, 47.6;-38.6, 0.0, -12.3;0.0, -0.8, 0.0, 0.6;1
1;manelmm3;29/11/2019 20:18:00;324.8, 0.0, 45.4;-40.8, 0.0, -3.3;0.0, -0.7, 0.0, 0.7;1
1;manelmm3;29/11/2019 20:18:00;312.5, 0.0, 45.5;-41.4, 0.0, 2.5;0.0, -0.7, 0.0, 0.8;1
1;manelmm3;29/11/2019 20:18:00;300.0, 0.0, 46.8;-41.7, 0.0, 6.1;0.0, -0.6, 0.0, 0.8;1
1;manelmm3;29/11/2019 20:18:01;286.7, 0.0, 49.4;-41.5, 0.0, 10.1;0.0, -0.6, 0.0, 0.8;1
1;manelmm3;29/11/2019 20:18:01;274.2, 0.0, 53.0;-41.3, 0.0, 13.2;0.0, -0.6, 0.0, 0.8;1
1;manelmm3;29/11/2019 20:18:01;261.9, 0.0, 57.3;-41.0, 0.0, 16.0;0.0, -0.6, 0.0, 0.8;1
1;manelmm3;29/11/2019 20:18:02;249.7, 0.0, 62.7;-40.2, 0.0, 19.4;0.0, -0.5, 0.0, 0.9;1
1;manelmm3;29/11/2019 20:18:02;237.7, 0.0, 68.9;-39.7, 0.0, 21.7;0.0, -0.5, 0.0, 0.9;1
1;manelmm3;29/11/2019 20:18:02;225.9, 0.0, 75.7;-39.5, 0.0, 23.2;0.0, -0.5, 0.0, 0.9;1
1;manelmm3;29/11/2019 20:18:03;213.2, 0.0, 83.3;-39.5, 0.0, 24.4;0.0, -0.5, 0.0, 0.9;1
1;manelmm3;29/11/2019 20:18:03;201.3, 0.0, 90.8;-39.7, 0.0, 25.2;0.0, -0.5, 0.0, 0.9;1
1;manelmm3;29/11/2019 20:18:03;189.4, 0.0, 98.5;-39.7, 0.0, 26.2;0.0, -0.5, 0.0, 0.9;1
1;manelmm3;29/11/2019 20:18:03;178.4, 0.0, 107.5;-32.7, 0.0, 34.6;0.0, -0.3, 0.0, 0.9;1
1;manelmm3;29/11/2019 20:18:04;170.2, 0.0, 119.2;-23.1, 0.0, 42.0;0.0, -0.2, 0.0, 1.0;1
1;manelmm3;29/11/2019 20:18:04;163.4, 0.0, 133.0;-21.4, 0.0, 43.4;0.0, -0.2, 0.0, 1.0;1
1;manelmm3;29/11/2019 20:18:04;156.8, 0.0, 146.1;-21.6, 0.0, 43.7;0.0, -0.2, 0.0, 1.0;1
1;manelmm3;29/11/2019 20:18:05;150.5, 0.0, 159.3;-21.0, 0.0, 44.5;0.0, -0.2, 0.0, 1.0;1
1;manelmm3;29/11/2019 20:18:05;144.6, 0.0, 172.9;-16.6, 0.0, 46.7;0.0, -0.2, 0.0, 1.0;1
1;manelmm3;29/11/2019 20:18:05;140.7, 0.0, 187.3;-10.5, 0.0, 48.9;0.0, -0.1, 0.0, 1.0;1
1;manelmm3;29/11/2019 20:18:06;138.2, 0.0, 202.2;-6.2, 0.0, 50.0;0.0, 0.0, 0.0, 1.0;1
1;manelmm3;29/11/2019 20:18:06;137.0, 0.0, 218.3;-0.9, 0.0, 50.7;0.0, 0.0, 0.0, 1.0;1
1;manelmm3;29/11/2019 20:18:06;138.0, 0.0, 233.5;6.9, 0.0, 50.5;0.0, 0.1, 0.0, 1.0;1
1;manelmm3;29/11/2019 20:18:06;141.1, 0.0, 248.5;13.9, 0.0, 49.2;0.0, 0.2, 0.0, 1.0;1
1;manelmm3;29/11/2019 20:18:07;146.5, 0.0, 262.9;21.0, 0.0, 47.0;0.0, 0.2, 0.0, 1.0;1
1;manelmm3;29/11/2019 20:18:07;153.5, 0.0, 276.8;24.2, 0.0, 45.7;0.0, 0.3, 0.0, 1.0;1
1;manelmm3;29/11/2019 20:18:07;161.5, 0.0, 291.3;27.0, 0.0, 44.4;0.0, 0.3, 0.0, 1.0;1
1;manelmm3;29/11/2019 20:18:08;170.5, 0.0, 304.1;32.6, 0.0, 40.9;0.0, 0.4, 0.0, 0.9;1
1;manelmm3;29/11/2019 20:18:08;180.6, 0.2, 316.1;33.8, 0.8, 40.0;0.0, 0.4, 0.0, 0.9;1
1;manelmm3;29/11/2019 20:18:08;190.6, 0.0, 328.3;32.6, 0.0, 41.7;0.0, 0.3, 0.0, 0.9;1
1;manelmm3;29/11/2019 20:18:09;200.4, 0.4, 340.8;32.5, 1.1, 41.9;0.0, 0.3, 0.0, 0.9;1
1;manelmm3;29/11/2019 20:18:09;210.0, 0.4, 353.4;31.9, -1.8, 41.3;0.1, 0.3, 0.1, 0.9;1
1;manelmm3;29/11/2019 20:18:09;220.7, 0.0, 366.4;36.8, 0.7, 38.9;0.0, 0.4, 0.0, 0.9;1
1;manelmm3;29/11/2019 20:18:09;233.0, 0.0, 376.7;44.3, -0.1, 30.5;0.0, 0.5, 0.0, 0.9;1
1;manelmm3;29/11/2019 20:18:10;246.9, 0.0, 384.9;46.8, 0.0, 26.7;0.0, 0.5, 0.0, 0.8;1
1;manelmm3;29/11/2019 20:18:10;260.9, 0.0, 395.0;41.5, 0.0, 34.7;0.0, 0.4, 0.0, 0.9;1
1;manelmm3;29/11/2019 20:18:10;273.9, 0.0, 404.6;46.3, 0.0, 27.2;0.0, 0.5, 0.0, 0.9;1
1;manelmm3;29/11/2019 20:18:11;289.0, 0.0, 409.5;53.2, 0.0, 5.9;0.0, 0.7, 0.0, 0.7;1
1;manelmm3;29/11/2019 20:18:11;299.7, 0.1, 409.8;2.6, 0.8, 4.6;0.1, 0.9, 0.0, 0.4;1
1;manelmm3;29/11/2019 20:18:11;300.4, 0.2, 411.0;2.7, -0.5, 3.4;0.1, 1.0, 0.0, 0.0;1
1;manelmm3;29/11/2019 20:18:12;301.3, 0.0, 411.8;2.3, 0.3, 2.0;0.0, 1.0, 0.0, -0.3;1
1;manelmm3;29/11/2019 20:18:12;302.0, 0.1, 412.6;2.6, 0.0, 3.2;0.0, 1.0, 0.0, -0.3;1
1;manelmm3;29/11/2019 20:18:12;302.9, 0.1, 413.7;3.3, 0.1, 4.2;0.0, 1.0, 0.0, -0.2;1
1;manelmm3;29/11/2019 20:18:13;303.8, 0.1, 415.1;1.9, 0.0, 5.0;0.0, 1.0, 0.0, -0.1;1
1;manelmm3;29/11/2019 20:18:13;304.0, 0.1, 416.3;0.1, 0.0, 2.8;0.0, 1.0, 0.0, 0.0;1
1;manelmm3;29/11/2019 20:18:13;304.0, 0.1, 416.8;0.0, 0.0, 0.4;0.0, 1.0, 0.0, -0.1;1
1;manelmm3;29/11/2019 20:18:13;304.0, 0.1, 416.6;0.2, -0.1, -1.4;0.0, 1.0, 0.0, -0.1;1
1;manelmm3;29/11/2019 20:18:14;304.2, 0.1, 415.9;0.7, 0.0, -3.0;0.0, 1.0, 0.0, 0.0;1
1;manelmm3;29/11/2019 20:18:14;304.5, 0.1, 414.8;1.9, 0.0, -4.4;0.0, 1.0, 0.0, 0.1;1
1;manelmm3;29/11/2019 20:18:14;305.4, 0.1, 413.3;4.0, 0.1, -5.3;0.0, 1.0, 0.0, 0.2;1
1;manelmm3;29/11/2019 20:18:15;307.0, 0.1, 411.7;6.8, 0.0, -4.8;0.0, 0.9, 0.0, 0.4;1
1;manelmm3;29/11/2019 20:18:15;309.5, 0.1, 410.4;9.1, 0.0, -4.4;0.0, 0.9, 0.0, 0.5;1
1;manelmm3;29/11/2019 20:18:15;312.7, 0.1, 408.8;10.8, 0.0, -5.0;0.0, 0.8, 0.0, 0.5;1
1;manelmm3;29/11/2019 20:18:16;316.1, 0.1, 407.3;12.4, 0.0, -5.5;0.0, 0.8, 0.0, 0.5;1
1;manelmm3;29/11/2019 20:18:16;320.1, 0.1, 405.5;13.8, 0.0, -6.1;0.0, 0.8, 0.0, 0.5;1
1;manelmm3;29/11/2019 20:18:16;324.5, 0.1, 403.7;15.7, 0.0, -5.5;0.0, 0.8, 0.0, 0.6;1
1;manelmm3;29/11/2019 20:18:17;329.8, 0.1, 402.0;17.4, 0.0, -5.2;0.0, 0.8, 0.0, 0.6;2
1;manelmm3;29/11/2019 20:18:17;335.3, 0.2, 400.5;18.5, 1.0, -5.1;0.0, 0.8, 0.0, 0.6;2
1;manelmm3;29/11/2019 20:18:17;340.8, 0.1, 399.0;19.2, -0.5, -4.8;0.0, 0.8, 0.0, 0.6;2
